is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.161, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 2, shaped_reward: 0.036
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.720, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.435, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 33, shaped_reward: 0.001
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.299, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 10, shaped_reward: 0.040
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.766, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.695, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 6, shaped_reward: -0.001
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.017, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 15, shaped_reward: -0.043
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.740, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 33, shaped_reward: 0.023
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.834, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 3, shaped_reward: 0.026
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.820, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 9, shaped_reward: 0.026
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.782, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 12, shaped_reward: 0.054
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 1.397, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 0, shaped_reward: 1.043
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.782, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 14, shaped_reward: 0.054
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.454, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.276, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 4, shaped_reward: -0.020
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.445, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.222, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 13, shaped_reward: -0.019
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 4.412, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 2, shaped_reward: 0.133
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.675, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 6, shaped_reward: 0.020
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.043, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 11, shaped_reward: 0.031
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.445, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 40, shaped_reward: -0.061
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.165, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 7, shaped_reward: 0.036
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 1.864, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 0, shaped_reward: 1.057
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 0.806, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 0, shaped_reward: 1.025
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.445, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 61, shaped_reward: -0.061
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.564, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.220, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 37, shaped_reward: -0.030
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.851, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 18, shaped_reward: -0.048
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.436, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 6, shaped_reward: 0.044
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.106, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 2, shaped_reward: 0.033
